,time_str,latitude,longitude
467,2024-11-08T16:23:00.000-05:00,41.0270341,-73.7682833
468,2024-11-08T16:24:00.000-05:00,41.0328801,-73.770227
469,2024-11-08T16:27:00.000-05:00,41.0325916,-73.7738941
470,2024-11-08T16:28:00.000-05:00,41.0339417,-73.7773452
471,2024-11-08T16:31:00.000-05:00,41.0441723,-73.7885082
472,2024-11-08T16:32:00.000-05:00,41.0459371,-73.793895
473,2024-11-08T16:34:00.000-05:00,41.0466208,-73.8017574
474,2024-11-08T16:34:00.000-05:00,41.0482527,-73.8055298
475,2024-11-08T16:37:00.000-05:00,41.0569211,-73.8121182
476,2024-11-08T16:42:00.000-05:00,41.062432,-73.8374933
477,2024-11-08T16:43:00.000-05:00,41.061259,-73.8399958
478,2024-11-08T16:53:00.000-05:00,41.0626173,-73.8378631
479,2024-11-08T16:56:00.000-05:00,41.0578037,-73.8151221
480,2024-11-08T16:58:00.000-05:00,41.0475016,-73.8046514
481,2024-11-08T17:00:00.000-05:00,41.0431053,-73.7877012
484,2024-11-08T17:01:00.000-05:00,41.0455562,-73.7667774
485,2024-11-08T17:02:00.000-05:00,41.0315992,-73.7514385
486,2024-11-08T17:03:00.000-05:00,41.0298936,-73.7407669
487,2024-11-08T17:04:00.000-05:00,41.0269739,-73.7342342
488,2024-11-08T17:05:00.000-05:00,41.0140393,-73.717787
489,2024-11-08T17:06:00.000-05:00,41.0133999,-73.7057893
490,2024-11-08T17:07:00.000-05:00,41.0003699,-73.6842861
491,2024-11-08T17:08:00.000-05:00,40.9922715,-73.6776013
492,2024-11-08T17:09:00.000-05:00,40.9869882,-73.6820215
493,2024-11-08T17:10:00.000-05:00,40.9753023,-73.7025309
